subj.num,secs.since.peak,avg.signal,sd.signal,mean,sd,z
12,0,1.073856275,0.10280886,0.01636,1.126732,0.938551736
12,0.1,0.802451238,0.108178431,0.01636,1.126732,0.69767366
12,0.2,0.670754506,0.070638737,0.01636,1.126732,0.580789848
12,0.3,0.859836347,0.100967228,0.01636,1.126732,0.748604235
12,0.4,0.492105062,0.125574946,0.01636,1.126732,0.422234446
12,0.5,-0.322688891,0.129903909,0.01636,1.126732,-0.300913519
12,0.6,-1.45709973,0.102605527,0.01636,1.126732,-1.307728661
12,0.7,-1.69122041,0.054033665,0.01636,1.126732,-1.515516032
12,0.8,-1.40449407,0.221254942,0.01636,1.126732,-1.261039955
12,0.9,0.182652243,0.197741805,0.01636,1.126732,0.147588107
12,1,0.973811033,0.091539062,0.01636,1.126732,0.849759333
